symbol,side,date,qty,px,pnl
AADHARHFC,BUY,2024-11-07 00:00:00+05:30,5,464.7033361114502,0.0
AADHARHFC,SELL,2024-11-11 00:00:00+05:30,5,435.28340109558104,-147.0996750793458
AEGISLOG,BUY,2024-11-18 00:00:00+05:30,5,843.9957944458008,0.0
ABSLAMC,BUY,2024-11-22 00:00:00+05:30,1,844.7968222229003,0.0
AEGISLOG,SELL,2024-12-06 00:00:00+05:30,5,813.1415521911621,-154.27121127319367
ASAHIINDIA,BUY,2024-12-06 00:00:00+05:30,2,750.1239194458008,0.0
ANANDRATHI,BUY,2024-12-09 00:00:00+05:30,1,2263.9894138916015,0.0
ALOKINDS,BUY,2024-12-09 00:00:00+05:30,5,23.981135763931274,0.0
ABSLAMC,SELL,2024-12-11 00:00:00+05:30,1,825.42555,-19.371272222900302
ANANTRAJ,BUY,2024-12-12 00:00:00+05:30,1,753.7786277770996,0.0
ANANDRATHI,SELL,2024-12-17 00:00:00+05:30,1,2105.2347300292968,-158.75468386230477
ACE,BUY,2024-12-17 00:00:00+05:30,1,1454.8387861083984,0.0
ALOKINDS,SELL,2024-12-18 00:00:00+05:30,5,22.221075,-8.800303819656374
ASTERDM,BUY,2024-12-23 00:00:00+05:30,1,504.5050111114502,0.0
AWL,BUY,2024-12-23 00:00:00+05:30,1,316.2606111114502,0.0
AWL,SELL,2024-12-31 00:00:00+05:30,1,307.6495228088379,-8.611088302612302
ASAHIINDIA,SELL,2025-01-02 00:00:00+05:30,2,751.6715793823242,3.0953198730469467
ASHOKLEY,BUY,2025-01-02 00:00:00+05:30,17,118.19345291671753,0.0
ACE,SELL,2025-01-06 00:00:00+05:30,1,1444.4697206176759,-10.369065490722505
AEGISLOG,BUY,2025-01-06 00:00:00+05:30,1,847.4001777770997,0.0
ASHOKLEY,SELL,2025-01-07 00:00:00+05:30,17,112.11406413345337,-103.3496093154908
ASTERDM,SELL,2025-01-10 00:00:00+05:30,1,503.84415,-0.6608611114501741
AEGISLOG,SELL,2025-01-10 00:00:00+05:30,1,828.921,-18.479177777099608
ANANTRAJ,SELL,2025-01-13 00:00:00+05:30,1,823.9275,70.14887222290042
AARTIIND,BUY,2025-01-15 00:00:00+05:30,11,430.308675,0.0
AARTIIND,SELL,2025-01-27 00:00:00+05:30,11,418.30550109558106,-132.03491294860822
AIAENG,BUY,2025-01-29 00:00:00+05:30,1,3661.4536611083986,0.0
APTUS,BUY,2025-02-01 00:00:00+05:30,4,317.5122361114502,0.0
AIAENG,SELL,2025-02-11 00:00:00+05:30,1,3545.7346425292967,-115.71901857910188
ASHOKLEY,BUY,2025-02-12 00:00:00+05:30,34,109.8175805557251,0.0
APTUS,SELL,2025-02-14 00:00:00+05:30,4,298.26174890441894,-77.00194882812502
360ONE,BUY,2025-02-25 00:00:00+05:30,1,1039.85005,0.0
ASHOKLEY,SELL,2025-02-28 00:00:00+05:30,34,106.33159021911621,-118.52367144470236
ANANDRATHI,BUY,2025-03-03 00:00:00+05:30,1,2074.19295,0.0
ANANDRATHI,SELL,2025-03-05 00:00:00+05:30,1,1893.2355412353515,-180.95740876464856
360ONE,SELL,2025-03-06 00:00:00+05:30,1,964.993875,-74.85617500000001
AADHARHFC,BUY,2025-03-07 00:00:00+05:30,11,427.2547222229004,0.0
AADHARHFC,SELL,2025-03-25 00:00:00+05:30,11,405.8217510955811,-235.76268240051252
AMBUJACEM,BUY,2025-03-25 00:00:00+05:30,5,521.2267027770996,0.0
ASIANPAINT,BUY,2025-03-25 00:00:00+05:30,1,2333.779975,0.0
AMBUJACEM,SELL,2025-04-28 00:00:00+05:30,5,544.2415771911622,115.07437207031273
ABSLAMC,BUY,2025-04-29 00:00:00+05:30,2,674.5758222229003,0.0
ALIVUS,BUY,2025-04-29 00:00:00+05:30,1,1092.1178611083985,0.0
