symbol,side,date,qty,px,pnl
ECLERX,BUY,2024-11-11 00:00:00+05:30,1,3385.2452027832032,0.0
ITI,BUY,2024-11-11 00:00:00+05:30,1,327.7755611114502,0.0
PFC,BUY,2024-11-11 00:00:00+05:30,1,482.4764111114502,0.0
JSWENERGY,BUY,2024-11-11 00:00:00+05:30,1,740.211025,0.0
ITI,SELL,2024-11-14 00:00:00+05:30,1,291.1410130279541,-36.6345480834961
PFC,SELL,2024-11-14 00:00:00+05:30,1,454.1089021911621,-28.367508920288117
AEGISLOG,BUY,2024-11-18 00:00:00+05:30,1,843.9957944458008,0.0
JSWENERGY,SELL,2024-11-22 00:00:00+05:30,1,688.0044543823242,-52.206570617675766
KIMS,BUY,2024-11-22 00:00:00+05:30,1,596.023825,0.0
AEGISLOG,SELL,2024-12-06 00:00:00+05:30,1,813.1415521911621,-30.854242254638734
JUBLFOOD,BUY,2024-12-06 00:00:00+05:30,1,695.40285,0.0
KIMS,SELL,2024-12-13 00:00:00+05:30,1,591.480075,-4.543749999999932
LEMONTREE,BUY,2024-12-13 00:00:00+05:30,1,147.92204472198486,0.0
ECLERX,SELL,2024-12-20 00:00:00+05:30,1,3604.2583162353517,219.01311345214845
GICRE,BUY,2024-12-20 00:00:00+05:30,2,501.6513,0.0
KFINTECH,BUY,2024-12-20 00:00:00+05:30,1,1446.37785,0.0
KPRMILL,BUY,2024-12-20 00:00:00+05:30,1,1151.7954388916016,0.0
KPRMILL,SELL,2024-12-24 00:00:00+05:30,1,1051.4314087646485,-100.36403012695314
TRIVENI,BUY,2024-12-24 00:00:00+05:30,3,494.9425777770996,0.0
GICRE,SELL,2024-12-30 00:00:00+05:30,2,444.2217478088379,-114.85910438232418
TRIVENI,SELL,2024-12-30 00:00:00+05:30,3,447.7171978088379,-141.67613990478503
NEWGEN,BUY,2024-12-30 00:00:00+05:30,1,1708.0675805541991,0.0
LEMONTREE,SELL,2025-01-06 00:00:00+05:30,1,149.9448173904419,2.022772668457037
KFINTECH,SELL,2025-01-06 00:00:00+05:30,1,1434.2830293823242,-12.09482061767585
