Symbol,Year,ReturnPct
360ONE.NS,2021,38.55
360ONE.NS,2022,22.58
360ONE.NS,2023,59.22
360ONE.NS,2024,78.53
360ONE.NS,2025,-20.26
3MINDIA.NS,2021,20.04
3MINDIA.NS,2022,-14.94
3MINDIA.NS,2023,73.48
3MINDIA.NS,2024,-17.09
3MINDIA.NS,2025,1.94
AADHARHFC.NS,2021,
AADHARHFC.NS,2022,
AADHARHFC.NS,2023,
AADHARHFC.NS,2024,28.27
AADHARHFC.NS,2025,19.81
AARTIIND.NS,2021,59.4
AARTIIND.NS,2022,-40.03
AARTIIND.NS,2023,6.35
AARTIIND.NS,2024,-37.08
AARTIIND.NS,2025,-9.61
AAVAS.NS,2021,52.04
AAVAS.NS,2022,-29.74
AAVAS.NS,2023,-15.26
AAVAS.NS,2024,7.58
AAVAS.NS,2025,-9.4
ABB.NS,2021,81.2
ABB.NS,2022,21.65
ABB.NS,2023,74.44
ABB.NS,2024,47.63
ABB.NS,2025,-27.85
ABBOTINDIA.NS,2021,23.75
ABBOTINDIA.NS,2022,10.8
ABBOTINDIA.NS,2023,6.6
ABBOTINDIA.NS,2024,30.67
ABBOTINDIA.NS,2025,4.86
ABCAPITAL.NS,2021,39.06
ABCAPITAL.NS,2022,15.94
ABCAPITAL.NS,2023,7.08
ABCAPITAL.NS,2024,7.09
ABCAPITAL.NS,2025,55.22
ABFRL.NS,2021,63.51
ABFRL.NS,2022,5.08
ABFRL.NS,2023,-22.0
ABFRL.NS,2024,23.95
ABFRL.NS,2025,-72.56
ABREL.NS,2021,124.59
ABREL.NS,2022,-21.95
ABREL.NS,2023,68.14
ABREL.NS,2024,95.99
ABREL.NS,2025,-30.79
ABSLAMC.NS,2021,-24.03
ABSLAMC.NS,2022,-14.05
ABSLAMC.NS,2023,2.78
ABSLAMC.NS,2024,76.36
ABSLAMC.NS,2025,-0.14
ACC.NS,2021,36.26
ACC.NS,2022,8.45
ACC.NS,2023,-9.37
ACC.NS,2024,-8.51
ACC.NS,2025,-12.25
ACE.NS,2021,55.73
ACE.NS,2022,35.89
ACE.NS,2023,170.21
ACE.NS,2024,78.2
ACE.NS,2025,-32.15
ACMESOLAR.NS,2021,
ACMESOLAR.NS,2022,
ACMESOLAR.NS,2023,
ACMESOLAR.NS,2024,-6.91
ACMESOLAR.NS,2025,21.28
ADANIENSOL.NS,2021,
ADANIENSOL.NS,2022,
ADANIENSOL.NS,2023,27.83
ADANIENSOL.NS,2024,-23.59
ADANIENSOL.NS,2025,-5.13
ADANIENT.NS,2021,248.05
ADANIENT.NS,2022,124.69
ADANIENT.NS,2023,-25.83
ADANIENT.NS,2024,-13.32
ADANIENT.NS,2025,-12.14
ADANIGREEN.NS,2021,24.79
ADANIGREEN.NS,2022,43.43
ADANIGREEN.NS,2023,-15.44
ADANIGREEN.NS,2024,-34.89
ADANIGREEN.NS,2025,-12.7
ADANIPORTS.NS,2021,44.94
ADANIPORTS.NS,2022,11.06
ADANIPORTS.NS,2023,24.57
ADANIPORTS.NS,2024,17.49
ADANIPORTS.NS,2025,7.72
ADANIPOWER.NS,2021,98.8
ADANIPOWER.NS,2022,195.71
ADANIPOWER.NS,2023,76.14
ADANIPOWER.NS,2024,1.18
ADANIPOWER.NS,2025,14.05
AEGISLOG.NS,2021,
AEGISLOG.NS,2022,
AEGISLOG.NS,2023,
AEGISLOG.NS,2024,16.98
AEGISLOG.NS,2025,-17.47
AFCONS.NS,2021,
AFCONS.NS,2022,
AFCONS.NS,2023,
AFCONS.NS,2024,14.99
AFCONS.NS,2025,-22.57
AFFLE.NS,2021,45.77
AFFLE.NS,2022,-9.34
AFFLE.NS,2023,21.83
AFFLE.NS,2024,35.08
AFFLE.NS,2025,7.64
AIAENG.NS,2021,-4.86
AIAENG.NS,2022,38.22
AIAENG.NS,2023,42.74
AIAENG.NS,2024,-7.64
AIAENG.NS,2025,-9.99
AJANTPHARM.NS,2021,35.4
AJANTPHARM.NS,2022,-17.9
AJANTPHARM.NS,2023,72.52
AJANTPHARM.NS,2024,35.77
AJANTPHARM.NS,2025,-17.26
AKUMS.NS,2021,
AKUMS.NS,2022,
AKUMS.NS,2023,
AKUMS.NS,2024,-19.82
AKUMS.NS,2025,-28.23
ALIVUS.NS,2021,
ALIVUS.NS,2022,
ALIVUS.NS,2023,
ALIVUS.NS,2024,
ALIVUS.NS,2025,-4.45
ALKEM.NS,2021,22.82
ALKEM.NS,2022,-17.48
ALKEM.NS,2023,73.35
ALKEM.NS,2024,10.04
ALKEM.NS,2025,-4.8
ALKYLAMINE.NS,2021,128.56
ALKYLAMINE.NS,2022,-29.2
ALKYLAMINE.NS,2023,-4.73
ALKYLAMINE.NS,2024,-34.77
ALKYLAMINE.NS,2025,10.79
