date,symbol,side,price,qty,reason
2019-02-07,ENDURANCE.NS,BUY,1239.95,733,ADX=59.5
2019-02-07,HAVELLS.NS,BUY,748.15,1,ADX=37.2
2019-02-07,HINDUNILVR.NS,BUY,1839.05,49,ADX=56.3
2019-02-07,MANAPPURAM.NS,BUY,104.05,2,ADX=36.9
2019-02-12,BANDHANBNK.NS,BUY,471.8,1,ADX=42.3
2019-02-12,HAVELLS.NS,SELL,707.0,1,STOP
2019-02-14,BALRAMCHIN.NS,BUY,117.7,1,ADX=31.2
2019-02-14,HINDUNILVR.NS,SELL,1785.05,49,RULE
2019-02-14,MPHASIS.NS,BUY,1048.65,83,ADX=39.3
2019-02-14,UPL.NS,BUY,547.37,1,ADX=32.2
2019-02-22,SUZLON.NS,BUY,5.28,8,ADX=72.2
2019-02-25,MOTHERSON.NS,BUY,43.5,1,ADX=37.4
2019-02-25,SUZLON.NS,SELL,4.99,8,STOP
2019-03-06,ENDURANCE.NS,SELL,1171.75,733,STOP
2019-03-06,JPPOWER.NS,BUY,2.25,28,ADX=47.1
2019-03-06,MPHASIS.NS,SELL,990.97,83,STOP
2019-03-06,MRPL.NS,BUY,71.05,1184,ADX=55.0
2019-03-06,SUZLON.NS,BUY,7.25,118138,ADX=59.9
2019-03-07,AAVAS.NS,BUY,1226.2,1,ADX=50.0
2019-03-07,JSWHL.NS,BUY,2738.95,295,ADX=50.1
2019-03-07,SARDAEN.NS,BUY,31.67,19,ADX=38.4
2019-03-07,SUZLON.NS,SELL,6.85,118138,STOP
2019-03-13,JPPOWER.NS,SELL,2.13,28,STOP
2019-03-13,NMDC.NS,BUY,29.17,2,ADX=42.5
2019-03-15,AAVAS.NS,SELL,1158.76,1,STOP
2019-03-15,FINCABLES.NS,BUY,487.6,2,ADX=57.7
2019-03-18,JUSTDIAL.NS,BUY,663.1,1,ADX=44.8
2019-03-18,SARDAEN.NS,SELL,29.92,19,STOP
2019-03-19,J&KBANK.NS,BUY,51.1,14,ADX=49.0
2019-03-19,JUSTDIAL.NS,SELL,626.63,1,STOP
2019-03-22,MOTHERSON.NS,SELL,41.1,1,STOP
2019-03-22,NMDC.NS,SELL,27.57,2,STOP
2019-03-25,DRREDDY.NS,BUY,556.19,1,ADX=33.0
2019-03-25,J&KBANK.NS,SELL,48.29,14,STOP
2019-03-25,PGEL.NS,BUY,9.06,25,ADX=28.8
2019-03-26,GMRAIRPORT.NS,BUY,17.52,4,ADX=31.0
2019-03-26,NTPC.NS,BUY,140.8,1,ADX=36.7
2019-03-26,PGEL.NS,SELL,8.57,25,STOP
2019-04-03,FINCABLES.NS,SELL,460.78,2,STOP
2019-04-03,NAVINFLUOR.NS,BUY,765.85,1,ADX=50.3
2019-04-04,MRPL.NS,SELL,70.55,1184,RULE
2019-04-04,SRF.NS,BUY,496.98,168,ADX=44.9
2019-04-08,GMRAIRPORT.NS,SELL,16.56,4,STOP
2019-04-08,TANLA.NS,BUY,43.45,6,ADX=34.0
2019-04-09,INTELLECT.NS,BUY,228.8,3,ADX=39.9
2019-04-09,NAVINFLUOR.NS,SELL,723.73,1,STOP
2019-04-23,JPPOWER.NS,BUY,2.85,100,ADX=35.6
2019-04-23,TANLA.NS,SELL,41.06,6,STOP
2019-04-24,MAHABANK.NS,BUY,18.0,7,ADX=38.1
2019-04-24,NTPC.NS,SELL,133.06,1,STOP
2019-04-30,GSPL.NS,BUY,199.9,1,ADX=37.0
2019-04-30,MANAPPURAM.NS,SELL,117.95,2,RULE
2019-05-02,GRSE.NS,BUY,117.55,1,ADX=30.3
2019-05-02,MAHABANK.NS,SELL,17.01,7,STOP
2019-05-03,GRSE.NS,SELL,111.08,1,STOP
2019-05-03,GSPL.NS,SELL,188.91,1,STOP
2019-05-03,HDFCBANK.NS,BUY,591.99,1,ADX=28.7
2019-05-03,INTELLECT.NS,SELL,216.22,3,STOP
2019-05-03,TRENT.NS,BUY,384.25,1,ADX=20.3
2019-05-09,DCMSHRIRAM.NS,BUY,494.2,164,ADX=36.8
2019-05-09,SRF.NS,SELL,484.73,168,RULE
2019-05-13,ATUL.NS,BUY,3626.35,21,ADX=25.4
2019-05-13,BALRAMCHIN.NS,SELL,136.25,1,RULE
2019-05-13,DCMSHRIRAM.NS,SELL,467.02,164,STOP
2019-05-13,DRREDDY.NS,SELL,560.55,1,RULE
2019-05-13,TRENT.NS,SELL,363.12,1,STOP
2019-05-14,BANDHANBNK.NS,SELL,542.8,1,RULE
2019-05-14,JSWHL.NS,SELL,2856.7,295,RULE
2019-05-15,DCMSHRIRAM.NS,BUY,525.8,1599,ADX=36.9
2019-05-15,SRF.NS,BUY,551.49,8,ADX=23.3
2019-05-17,JPPOWER.NS,SELL,2.69,100,STOP
2019-05-17,TATACONSUM.NS,BUY,235.4,1,ADX=23.7
2019-05-20,BEL.NS,BUY,33.1,1,ADX=18.2
2019-05-30,TTML.NS,BUY,3.59,1,ADX=22.2
2019-06-14,DCMSHRIRAM.NS,SELL,503.15,1599,RULE
2019-06-14,HDFCAMC.NS,BUY,1936.45,415,ADX=44.7
2019-06-14,RITES.NS,BUY,117.6,7,ADX=28.2
2019-06-17,UCOBANK.NS,BUY,18.8,4,ADX=37.6
2019-06-18,HDFCAMC.NS,SELL,1829.95,415,STOP
2019-06-18,REDINGTON.NS,BUY,54.62,13902,ADX=31.1
2019-06-19,POWERGRID.NS,BUY,112.67,12,ADX=18.6
2019-06-19,RITES.NS,SELL,111.13,7,STOP
2019-06-19,TTML.NS,SELL,3.39,1,STOP
2019-06-19,UPL.NS,SELL,633.53,1,RULE
2019-06-20,MOTHERSON.NS,BUY,34.93,5,ADX=23.6
2019-06-20,UCOBANK.NS,SELL,17.77,4,STOP
2019-06-24,MOTHERSON.NS,SELL,33.01,5,STOP
2019-06-24,TANLA.NS,BUY,70.15,2,ADX=43.4
2019-06-26,NMDC.NS,BUY,28.79,1,ADX=26.2
2019-06-26,PFC.NS,BUY,109.16,1,ADX=44.8
2019-06-26,TANLA.NS,SELL,66.29,2,STOP
2019-07-01,FINPIPE.NS,BUY,105.75,1,ADX=52.2
2019-07-01,PFC.NS,SELL,103.16,1,STOP
2019-07-05,REDINGTON.NS,SELL,51.62,13902,STOP
2019-07-05,UCOBANK.NS,BUY,19.6,36614,ADX=37.0
2019-07-08,BEL.NS,SELL,33.73,1,RULE
2019-07-08,DCMSHRIRAM.NS,BUY,579.4,9,ADX=25.9
2019-07-08,HDFCBANK.NS,SELL,602.4,1,RULE
2019-07-08,NMDC.NS,SELL,27.2,1,STOP
2019-07-08,SRF.NS,SELL,576.12,8,RULE
2019-07-09,ADANIPOWER.NS,BUY,67.15,1294,ADX=33.6
2019-07-09,ATUL.NS,SELL,3901.1,21,RULE
2019-07-09,DCMSHRIRAM.NS,SELL,547.53,9,STOP
2019-07-09,SJVN.NS,BUY,25.7,1,ADX=25.2
2019-07-10,ADANIPOWER.NS,SELL,63.46,1294,STOP
2019-07-10,FINPIPE.NS,SELL,99.93,1,STOP
2019-07-10,TATACONSUM.NS,SELL,251.65,1,RULE
2019-07-11,HFCL.NS,BUY,21.45,3844,ADX=21.1
2019-07-12,INTELLECT.NS,BUY,280.55,2417,ADX=44.9
2019-07-12,UCOBANK.NS,SELL,18.52,36614,STOP
2019-07-18,CANFINHOME.NS,BUY,390.25,1677,ADX=28.2
2019-07-18,COLPAL.NS,BUY,1203.65,1,ADX=19.7
2019-07-18,HDFCAMC.NS,BUY,2170.0,29,ADX=26.0
2019-07-18,HFCL.NS,SELL,20.27,3844,STOP
2019-07-18,INTELLECT.NS,SELL,265.12,2417,STOP
2019-07-19,SJVN.NS,SELL,24.65,1,RULE
2019-07-24,ASIANPAINT.NS,BUY,1483.4,40,ADX=21.8
2019-07-24,HDFCAMC.NS,SELL,2050.65,29,STOP
2019-07-25,PHOENIXLTD.NS,BUY,345.1,1,ADX=15.3
2019-07-31,GUJGASLTD.NS,BUY,172.35,2,ADX=17.9
2019-07-31,PHOENIXLTD.NS,SELL,326.12,1,STOP
2019-08-02,CANFINHOME.NS,SELL,368.79,1677,STOP
2019-08-05,PATANJALI.NS,BUY,510.0,1215,ADX=40.0
2019-08-05,POWERGRID.NS,SELL,113.15,12,RULE
2019-08-07,J&KBANK.NS,BUY,44.8,4,ADX=33.0
2019-08-08,J&KBANK.NS,SELL,42.34,4,STOP
2019-08-09,IEX.NS,BUY,49.8,3,ADX=29.5
2019-08-13,IEX.NS,SELL,47.06,3,STOP
2019-08-16,IDFCFIRSTB.NS,BUY,45.75,3,ADX=24.1
2019-08-19,GMRAIRPORT.NS,BUY,14.32,1,ADX=16.0
2019-08-20,COFORGE.NS,BUY,275.01,2129,ADX=26.9
2019-08-20,GPPL.NS,BUY,81.7,1,ADX=22.1
2019-08-20,PATANJALI.NS,SELL,481.95,1215,STOP
2019-08-21,GMRAIRPORT.NS,SELL,13.54,1,STOP
2019-08-22,GPPL.NS,SELL,77.21,1,STOP
2019-08-22,IDFCFIRSTB.NS,SELL,43.23,3,STOP
2019-08-26,RHIM.NS,BUY,193.35,1,ADX=33.9
2019-08-29,ANANTRAJ.NS,BUY,12.68,2,ADX=24.1
2019-09-03,GUJGASLTD.NS,SELL,171.75,2,RULE
2019-09-04,BEL.NS,BUY,35.5,4,ADX=23.0
2019-09-04,POLYMED.NS,BUY,200.85,1,ADX=43.2
2019-09-05,ASIANPAINT.NS,SELL,1519.75,40,RULE
2019-09-05,ELECON.NS,BUY,16.65,3651,ADX=34.6
2019-09-09,RTNINDIA.NS,BUY,2.0,2,ADX=25.5
2019-09-18,COFORGE.NS,SELL,272.43,2129,RULE
2019-09-18,DBREALTY.NS,BUY,9.1,79,ADX=42.2
2019-09-18,GLAXO.NS,BUY,1409.45,411,ADX=47.5
