date,symbol,side,price,qty,reason
2019-02-07,BAJAJ-AUTO.NS,BUY,2853.6,318,ADX=53.9
2019-02-07,DABUR.NS,BUY,459.8,1,ADX=33.0
2019-02-07,DALBHARAT.NS,BUY,1119.6,82,ADX=44.6
2019-02-12,BANDHANBNK.NS,BUY,471.8,184,ADX=42.3
2019-02-12,DALBHARAT.NS,SELL,1058.02,82,STOP
2019-02-14,BALRAMCHIN.NS,BUY,117.7,1,ADX=31.2
2019-02-15,ABFRL.NS,BUY,215.03,2,ADX=20.2
2019-02-15,DABUR.NS,SELL,434.51,1,STOP
2019-02-19,ABFRL.NS,SELL,203.21,2,STOP
2019-02-20,DCMSHRIRAM.NS,BUY,363.1,1,ADX=24.6
2019-02-21,DEEPAKFERT.NS,BUY,127.21,1,ADX=35.5
2019-02-27,ABCAPITAL.NS,BUY,90.95,1,ADX=31.6
2019-02-27,DEEPAKFERT.NS,SELL,120.22,1,STOP
2019-04-02,BAJAJ-AUTO.NS,SELL,2853.1,318,RULE
2019-04-02,BLUESTARCO.NS,BUY,354.95,2556,ADX=43.1
2019-04-11,BDL.NS,BUY,154.82,3,ADX=34.9
2019-04-11,DCMSHRIRAM.NS,SELL,394.85,1,RULE
2019-04-18,ADANIGREEN.NS,BUY,45.0,15,ADX=27.8
2019-04-18,APARINDS.NS,BUY,694.6,1234,ADX=34.4
2019-04-18,BDL.NS,SELL,146.31,3,STOP
2019-04-18,BLUESTARCO.NS,SELL,335.43,2556,STOP
2019-04-26,ADANIGREEN.NS,SELL,42.52,15,STOP
2019-04-26,APARINDS.NS,SELL,661.5,1234,RULE
2019-04-26,CHOLAHLDNG.NS,BUY,516.95,1580,ADX=26.3
2019-05-09,ABCAPITAL.NS,SELL,96.75,1,RULE
2019-05-13,BALRAMCHIN.NS,SELL,136.25,1,RULE
2019-05-14,ATUL.NS,BUY,3651.4,27,ADX=26.6
2019-05-14,BANDHANBNK.NS,SELL,542.8,184,RULE
2019-05-15,DCMSHRIRAM.NS,BUY,525.8,3,ADX=36.9
2019-05-20,ADANIENT.NS,BUY,151.95,5080,ADX=40.2
2019-05-20,BEL.NS,BUY,33.1,1,ADX=18.2
2019-05-20,CHOLAHLDNG.NS,SELL,488.52,1580,STOP
2019-05-24,ANANTRAJ.NS,BUY,14.32,1,ADX=29.2
2019-06-06,ANANTRAJ.NS,SELL,13.54,1,STOP
2019-06-14,DCMSHRIRAM.NS,SELL,503.15,3,RULE
2019-06-19,ADANIENT.NS,SELL,143.59,5080,STOP
2019-06-20,BAJFINANCE.NS,BUY,358.26,1,ADX=33.1
2019-06-20,CONCOR.NS,BUY,545.6,1339,ADX=33.5
2019-07-01,ADANIPOWER.NS,BUY,60.3,1,ADX=21.4
2019-07-08,BAJFINANCE.NS,SELL,338.55,1,STOP
2019-07-08,BEL.NS,SELL,33.73,1,RULE
2019-07-09,ATUL.NS,SELL,3901.1,27,RULE
2019-07-12,BALRAMCHIN.NS,BUY,162.0,652,ADX=22.2
2019-07-18,BALRAMCHIN.NS,SELL,153.09,652,STOP
2019-07-18,CANFINHOME.NS,BUY,390.25,1913,ADX=28.2
2019-07-18,COLPAL.NS,BUY,1203.65,62,ADX=19.7
2019-07-18,CONCOR.NS,SELL,538.95,1339,RULE
2019-07-29,BERGEPAINT.NS,BUY,276.96,1,ADX=17.1
2019-08-01,ADANIPOWER.NS,SELL,59.4,1,RULE
2019-08-02,ASIANPAINT.NS,BUY,1545.2,456,ADX=32.6
2019-08-02,CANFINHOME.NS,SELL,368.79,1913,STOP
2019-08-06,BHARTIARTL.NS,BUY,361.66,2,ADX=18.2
2019-08-13,BHARTIARTL.NS,SELL,341.77,2,STOP
2019-08-14,DIXON.NS,BUY,470.13,2,ADX=37.8
2019-08-20,COFORGE.NS,BUY,275.01,3,ADX=26.9
2019-08-20,DIXON.NS,SELL,444.27,2,STOP
2019-08-29,ANANTRAJ.NS,BUY,12.68,9,ADX=24.1
2019-09-05,ASIANPAINT.NS,SELL,1519.75,456,RULE
2019-09-05,ELECON.NS,BUY,16.65,41622,ADX=34.6
